title,artist,number_of_singers,year,popularity,duration_ms,image_url
"Beauty and the Beast - from the Soundtrack ""Beauty and the Beast""","Céline Dion, Peabo Bryson",2,1992,70,249240,https://i.scdn.co/image/ab67616d0000b273fb23175eac76782881ed60ed
A Thousand Years,Christina Perri,1,2011,84,285120,https://i.scdn.co/image/ab67616d0000b2733dea4a2ccd58ad1f8e4dbb03
Just the Way You Are,Bruno Mars,1,2010,85,220734,https://i.scdn.co/image/ab67616d0000b273f6b55ca93bd33211227b502b
Stay,"Rihanna, Mikky Ekko",2,2012,71,240706,https://i.scdn.co/image/ab67616d0000b2730e6cedee56e37a9a65f2164d
Jump Around,House Of Pain,1,1992,79,214946,https://i.scdn.co/image/ab67616d0000b273c9f143444515b5106b0e4de5
She Bangs - English Version,Ricky Martin,1,2000,65,280626,https://i.scdn.co/image/ab67616d0000b2737067e13923911540f8bb7218
I Hope You Dance,Lee Ann Womack,1,2000,71,294533,https://i.scdn.co/image/ab67616d0000b27363b3168c1970294e9ce5c415
Don't Let Go (Love),En Vogue,1,1997,67,291880,https://i.scdn.co/image/ab67616d0000b273b3f0da6220b1c2bc11876f76
Dangerous Woman,Ariana Grande,1,2016,72,235946,https://i.scdn.co/image/ab67616d0000b273628d506d5bddb09099db242c
Always Be My Baby,Mariah Carey,1,1995,76,258133,https://i.scdn.co/image/ab67616d0000b273749e9bfa78277f30ad2c9a9c
I'm Gonna Be (500 Miles),The Proclaimers,1,2003,75,219466,https://i.scdn.co/image/ab67616d0000b273b0c0201a8796d8a536253a61
I Will Survive - Single Version,Gloria Gaynor,1,2000,72,198066,https://i.scdn.co/image/ab67616d0000b273a6479db910d22f5aa4546af1
Umbrella,"Rihanna, JAY-Z",2,2008,86,275986,https://i.scdn.co/image/ab67616d0000b273f9f27162ab1ed45b8d7a7e98
"Endless Love - From ""The Endless Love"" Soundtrack","Lionel Richie, Diana Ross",2,2003,61,266266,https://i.scdn.co/image/ab67616d0000b2732e6e2b77b5dd9d3b54415138
A Whole New World,"Lea Salonga, Brad Kane, Disney",3,2004,71,160800,https://i.scdn.co/image/ab67616d0000b2734a4b92dcf7a5c51cc4f7424c
Damn I Wish I Was Your Lover,Sophie B. Hawkins,1,2003,54,323400,https://i.scdn.co/image/ab67616d0000b273fa4447affb87fed97b2f7890
Islands In the Stream,"Dolly Parton, Kenny Rogers",2,1982,72,251960,https://i.scdn.co/image/ab67616d0000b273a4afa2612e996d0998fb2a00
The Boy Is Mine,"Brandy, Monica",2,1998,77,294786,https://i.scdn.co/image/ab67616d0000b27389c9590c941cec56429f2456
Good Time,"Owl City, Carly Rae Jepsen",2,2012,82,205933,https://i.scdn.co/image/ab67616d0000b273cf5459850259268f98b07f7a
Hit the Road Jack,Ray Charles,1,2021,70,119880,https://i.scdn.co/image/ab67616d0000b2734448e36a9ef845b705d80a0d
Can You Feel The Love Tonight,Elton John,1,1995,62,240000,https://i.scdn.co/image/ab67616d0000b273285a5c29d3b2d05895781820
Savage Remix (feat. Beyoncé),"Megan Thee Stallion, Beyoncé",2,2020,73,242000,https://i.scdn.co/image/ab67616d0000b273cd613f53a22b92b14694943c
Save a Horse (Ride a Cowboy),Big & Rich,1,2009,61,200306,https://i.scdn.co/image/ab67616d0000b273decefe1062458833fd7770de
Tequila Makes Her Clothes Fall Off,Joe Nichols,1,2011,54,187066,https://i.scdn.co/image/ab67616d0000b2730ec17392db25b5e99ac874a9
Stuck Like Glue,Sugarland,1,2010,72,247586,https://i.scdn.co/image/ab67616d0000b273a5eb87ae91a4e2235c8fec75
The Devil Went Down to Georgia,The Charlie Daniels Band,1,1973,72,214866,https://i.scdn.co/image/ab67616d0000b27382f846c52535bb65ab1d1a54
Don't Speak,No Doubt,1,1995,79,263560,https://i.scdn.co/image/ab67616d0000b2736ebd5e789646a833b8f7d4ba
Ironic - 2015 Remaster,Alanis Morissette,1,1995,75,230000,https://i.scdn.co/image/ab67616d0000b273242e643ea07118ecf677a6ef
U Remind Me,Usher,1,2001,75,266893,https://i.scdn.co/image/ab67616d0000b2737750146aac26aade0a867913
"Me, Myself and I",Beyoncé,1,2003,68,301133,https://i.scdn.co/image/ab67616d0000b27345680a4a57c97894490a01c1
Redneck Woman,Gretchen Wilson,1,2004,68,221333,https://i.scdn.co/image/ab67616d0000b273ddf15202c076358827b81302
What Was I Thinkin',Dierks Bentley,1,2003,72,260826,https://i.scdn.co/image/ab67616d0000b273e7a016e503c28989946f57c1
"I Like It, I Love It",Tim McGraw,1,1995,71,205706,https://i.scdn.co/image/ab67616d0000b2733069894b5d58159a103dd169
Boondocks,Little Big Town,1,2005,71,272346,https://i.scdn.co/image/ab67616d0000b273c00d1f4abc51c2540bf2265b
Before He Cheats,Carrie Underwood,1,2005,81,199946,https://i.scdn.co/image/ab67616d0000b273724bd326692d222c5906b0b0
Wide Open Spaces,The Chicks,1,1998,71,223832,https://i.scdn.co/image/ab67616d0000b2737c2a9c9ce2e9016223cdb74a
Cowboy Take Me Away,The Chicks,1,1999,73,287266,https://i.scdn.co/image/ab67616d0000b27309874a0209b4bc9c0b3a0a01
All-American Girl,Carrie Underwood,1,2007,66,212173,https://i.scdn.co/image/ab67616d0000b2738b3962e95912849e28378231
Love Story,Taylor Swift,1,2008,72,235266,https://i.scdn.co/image/ab67616d0000b2737b25c072237f29ee50025fdc
If I Ain't Got You,Alicia Keys,1,2003,83,228706,https://i.scdn.co/image/ab67616d0000b27356ff19308ebeb48e2ba6094b
He Wasn't Man Enough,Toni Braxton,1,2000,72,261933,https://i.scdn.co/image/ab67616d0000b273126720399a6b06e1c6bd46c6
Genie In a Bottle,Christina Aguilera,1,1999,76,217573,https://i.scdn.co/image/ab67616d0000b273f89996e214be1763b2a9e948
Waterfalls,TLC,1,1994,76,279506,https://i.scdn.co/image/ab67616d0000b273a6125b1964a555892c49ea53
Despacito,"Luis Fonsi, Daddy Yankee",2,2017,54,228200,https://i.scdn.co/image/ab67616d0000b273cec00cbd4c7c6e7a29e794c0
Say My Name,Destiny's Child,1,1999,80,271333,https://i.scdn.co/image/ab67616d0000b2733718df75b57340c1947747e8
