spotify_id,title,artist,year,popularity,duration_ms,image_url
4y1LsJpmMti1PfRQV9AWWe,Girls Just Want to Have Fun,Cyndi Lauper,1983,79,238266,https://i.scdn.co/image/ab67616d0000b27352f532df7ba3269b0242fed9
1kPpge9JDLpcj15qgrPbYX,Good Time,"Owl City, Carly Rae Jepsen",2012,79,205933,https://i.scdn.co/image/ab67616d0000b273cf5459850259268f98b07f7a
02MWAaffLxlfxAUY7c5dvx,Heat Waves,Glass Animals,2020,91,238805,https://i.scdn.co/image/ab67616d0000b2739e495fb707973f3390850eea
6EdSN1iGtLPhcz43QDRkdK,Help!,The Beatles,2006,56,138285,https://i.scdn.co/image/ab67616d0000b27330503dbc30e621c96913379b
1eT2CjXwFXNx6oY5ydvzKU,Hey Jude,The Beatles,2006,65,238854,https://i.scdn.co/image/ab67616d0000b27330503dbc30e621c96913379b
5dUMh0ugelpKfoFp3qChuK,Hit the Road Jack,Ray Charles,2021,66,119880,https://i.scdn.co/image/ab67616d0000b2734448e36a9ef845b705d80a0d
1y4eb6hmAvsqlDOl3fx9kk,Hot N Cold,Katy Perry,2008,71,220226,https://i.scdn.co/image/ab67616d0000b273cd3978ebe35d93a07249b97f
2H1047e0oMSj10dgp7p2VG,I Gotta Feeling,Black Eyed Peas,2009,75,289133,https://i.scdn.co/image/ab67616d0000b273382514f0114ba8f4a16d5db4
72jCZdH0Lhg93z6Z4hBjgj,I Knew You Were Trouble.,Taylor Swift,2012,64,217973,https://i.scdn.co/image/ab67616d0000b27396384c98ac4f3e7c2440f5b5
47BBI51FKFwOMlIiX6m8ya,I Want It That Way,Backstreet Boys,1999,81,213306,https://i.scdn.co/image/ab67616d0000b2732160c02bc56f192df0f4986b
6fw12s3vAJQAt7lbICodwC,"I Will Survive - Original 7"" Version",Gloria Gaynor,1993,65,198373,https://i.scdn.co/image/ab67616d0000b273fbb2f8d9f10d03d7f01a664d
66S14BkJDxgkYxLl5DCqOz,I'm Gonna Be (500 Miles),The Proclaimers,2003,73,219466,https://i.scdn.co/image/ab67616d0000b273b0c0201a8796d8a536253a61
3G7tRC24Uh09Hmp1KZ7LQ2,I'm a Believer - 2006 Remaster,The Monkees,1967,75,167373,https://i.scdn.co/image/ab67616d0000b273360a1ae790aa71a0aac4983e
2AW37v0bDyuOzGP3XnmFuA,It's Gonna Be Me,*NSYNC,2000,68,192426,https://i.scdn.co/image/ab67616d0000b273a6cb8fab778e1efc406a5909
1mKXFLRA179hdOWQBwUk9e,Just Give Me a Reason (feat. Nate Ruess),"P!nk, Nate Ruess",2012,81,242733,https://i.scdn.co/image/ab67616d0000b2739d0f0d226987b449808e7b6f
455AfCsOhhLPRc68sE01D8,Last Friday Night (T.G.I.F.),Katy Perry,2012,76,230746,https://i.scdn.co/image/ab67616d0000b273937af329667311f4b2831616
0qcr5FMsEO85NAQjrlDRKo,"Let It Go - From ""Frozen""/Soundtrack Version",Idina Menzel,2013,75,223840,https://i.scdn.co/image/ab67616d0000b2734b1899123e484c034e31164e
37ZJ0p5Jm13JPevGcx4SkF,Livin' On A Prayer,Bon Jovi,1986,85,249293,https://i.scdn.co/image/ab67616d0000b2731336b31b6a1799f0de5807ac
0Ph6L4l8dYUuXFmb71Ajnd,Livin' la Vida Loca,Ricky Martin,1999,75,243160,https://i.scdn.co/image/ab67616d0000b273e7e9b85cc1f021ec12130d80
4W4wYHtsrgDiivRASVOINL,Love Shack,The B-52's,1989,73,320680,https://i.scdn.co/image/ab67616d0000b27393bf4c5e67f6a72149d94c94
4E6cwWJWZw2zWf7VFbH7wf,Love Song,Sara Bareilles,2007,74,258826,https://i.scdn.co/image/ab67616d0000b2731c3e0a58f3ee28af2922e351
1vrd6UOGamcKNGnSHJQlSt,Love Story,Taylor Swift,2008,69,235266,https://i.scdn.co/image/ab67616d0000b2737b25c072237f29ee50025fdc
2TxCwUlqaOH3TIyJqGgR91,Mamma Mia,ABBA,1975,78,213266,https://i.scdn.co/image/ab67616d0000b27392d0747a634fcc351c6ac3c2
6KfoDhO4XUWSbnyKjNp9c4,Maniac,Conan Gray,2020,82,185773,https://i.scdn.co/image/ab67616d0000b27388e3cda6d29b2552d4d6bc43
003vvx7Niy0yvhvHt4a68B,Mr. Brightside,The Killers,2004,85,222973,https://i.scdn.co/image/ab67616d0000b273ccdddd46119a4ff53eaf1f5d
0I3q5fE6wg7LIfHGngUTnV,Ms. Jackson,Outkast,2000,82,270506,https://i.scdn.co/image/ab67616d0000b2732350e31bc346a6c20e9de166
6sqNctd7MlJoKDOxPVCAvU,My Happy Ending,Avril Lavigne,2004,70,242413,https://i.scdn.co/image/ab67616d0000b2739c291af4bf0c3071847f2b80
33iv3wnGMrrDugd7GBso1z,My Own Worst Enemy,Lit,1999,73,169026,https://i.scdn.co/image/ab67616d0000b2737b40b2abdbcb8520874f29ed
1KGi9sZVMeszgZOWivFpxs,No Scrubs,TLC,1999,79,214400,https://i.scdn.co/image/ab67616d0000b27361ffafd5e31a37336531cf95
2YpeDb67231RjR0MgVLzsG,Old Town Road - Remix,"Lil Nas X, Billy Ray Cyrus",2019,80,157066,https://i.scdn.co/image/ab67616d0000b273c0e7bf5cdd630f314f20586a
6naxalmIoLFWR0siv8dnQQ,Oops!...I Did It Again,Britney Spears,2000,79,211160,https://i.scdn.co/image/ab67616d0000b2732aa20611c7fb964a74ab01a6
6yARPLK0PV4heEyh7pVMGz,Part Of Me,Katy Perry,2012,69,216160,https://i.scdn.co/image/ab67616d0000b273a56dc57d708c7b62db950105
5Q0Nhxo0l2bP3pNjpGJwV1,Party In The U.S.A.,Miley Cyrus,2009,78,202066,https://i.scdn.co/image/ab67616d0000b273d6c3ad6a2a27471e1d5e8103
3XYRV7ZSHqIRDG87DKTtry,Permission to Dance,BTS,2021,83,187585,https://i.scdn.co/image/ab67616d0000b273a7e481899b7e0396f93d10b8
1gv4xPanImH17bKZ9rOveR,Raise Your Glass,P!nk,2010,77,202960,https://i.scdn.co/image/ab67616d0000b2736f3451faa271fbe470685f34
0XyjtybwqSdqMAFfBEkmZf,Rebel Girl,Bikini Kill,2015,59,157333,https://i.scdn.co/image/ab67616d0000b2733aaf814e8350a1ae241603a0
6YffUZJ2R06kyxyK6onezL,Ring of Fire,Johnny Cash,1963,71,158426,https://i.scdn.co/image/ab67616d0000b273dfe4bfe695c4192e547e72c7
1AWQoqb9bSvzTjaLralEkT,Rock Your Body,Justin Timberlake,2002,77,267266,https://i.scdn.co/image/ab67616d0000b273346a5742374ab4cf9ed32dee
1qg0zw8yNgfeClchuFXvWD,SOS,ABBA,2014,47,201360,https://i.scdn.co/image/ab67616d0000b2738f64fbf30b36a1b9140c1ec9
5iyZwawawLjHYpX4MxUKVF,Salt,Ava Max,2020,72,180283,https://i.scdn.co/image/ab67616d0000b2739a95e89d24214b94de36ccf7
6VoIBz0VhCyz7OdEoRYDiA,Say It Ain't So,Weezer,1994,77,258826,https://i.scdn.co/image/ab67616d0000b273345536847e60f622ee0eae96
7H6ev70Weq6DdpZyyTmUXk,Say My Name,Destiny's Child,1999,76,271333,https://i.scdn.co/image/ab67616d0000b2733718df75b57340c1947747e8
1G391cbiT3v3Cywg8T7DM1,Scar Tissue,Red Hot Chili Peppers,1999,79,215906,https://i.scdn.co/image/ab67616d0000b27394d08ab63e57b0cae74e8595
42et6fnHCw1HIPSrdPprMl,Semi-Charmed Life,Third Eye Blind,1997,75,268360,https://i.scdn.co/image/ab67616d0000b2734139c9208eeed67d2a211beb
5xTtaWoae3wi06K5WfVUUH,Shake It Off,Taylor Swift,2014,74,219200,https://i.scdn.co/image/ab67616d0000b2739abdf14e6058bd3903686148
39shmbIHICJ2Wxnk1fPSdz,Should I Stay or Should I Go - Remastered,The Clash,1982,81,188986,https://i.scdn.co/image/ab67616d0000b27325a4df452a3c42ccc2e9288b
